lev,roa,size,mb,bign,loss,salesgrowth,fraud_year_tplus1,cash
0.2813,0.0352,5.4947,1.2348,1,0,0.107,0,0.0528
0.2702,0.0535,5.8692,1.7297,1,0,0.1187,0,0.0768
0.2206,0.0753,6.3356,2.0958,1,0,0.167,0,0.0976
0.5138,0.1218,4.1653,6.1924,1,0,0.4076,1,0.008
0.0586,0.1405,6.2012,2.708,1,0,0.0771,0,0.0851
0.0033,0.2212,8.3945,5.8904,1,0,0.4063,0,0.1173
0.2606,0.0649,7.6172,2.6269,1,0,0.4908,0,0.2902
0.2482,0.0368,7.4248,1.92,1,0,0.0964,0,0.3337
0.0587,0.069,3.1171,1.6534,0,0,-0.0121,0,0.2172
0.0597,0.0701,3.5618,2.7877,0,0,0.0906,0,0.0405
0.51,0.0634,6.8141,2.5874,1,0,0.2115,0,0.0152
0.3606,0.0184,8.6434,1.5576,1,0,0.0479,0,0.0461
0.2216,0.0836,8.9896,1.4149,1,0,0.0499,0,0.0884
0.1859,0.0821,9.3172,1.7902,1,0,0.046,0,0.1164
0.2354,0.1133,4.6349,6.9035,0,0,0.6604,0,0.007
0.0784,0.1623,5.1945,2.0714,1,0,0.2605,0,0.1967
0,0.1071,7.6923,1.1979,1,0,0.0806,0,0.3147
0.3276,0.0571,8.1871,1.7729,1,0,0.0975,0,0.004
0.2612,0.0382,8.313,1.3818,1,0,0.0291,0,0.0348
0.2304,0.0354,8.3178,1.1959,1,0,0.0304,0,0.0136
0.2822,0.0418,8.5305,1.4703,1,0,0.1385,0,0.0076
0.2609,0.0248,8.0838,0.9407,1,0,-0.0444,0,0.0091
0,0.1105,4.4364,1.6197,1,0,0.0905,0,0.0007
0,0.1387,4.6584,1.7627,1,0,0.1748,0,0.0006
0,0.1272,4.9055,1.5894,1,0,0.236,0,0.0006
0.0048,0.147,5.7392,1.8405,1,0,0.2217,0,0.0003
0.2754,0.1379,5.6327,1.3399,1,0,0.1499,0,0.0002
0.1176,0.1196,6.4919,2.0606,1,0,0.1968,0,0.0002
0.0778,0.2661,10.8207,10.0123,1,0,0.079,0,0.0215
0.1938,0.0784,11.0197,5.3279,1,0,0.0085,0,0.038
0.2389,0.1238,11.0197,4.8951,1,0,0.153,0,0.071
0.0393,0.1348,4.2035,1.3184,1,0,0.1045,0,0.2332
0.0245,0.1432,4.335,1.3427,1,0,-0.0349,0,0.1457
0.0115,0.1371,4.4032,1.2937,1,0,0.1115,0,0.183
0.0103,0.1187,4.1953,1.0436,1,0,0.0922,0,0.0564
0,0.0702,4.2436,0.9504,1,0,0.2873,0,0.1346
0,0.1411,5.6433,2.8164,1,0,0.0975,0,0.2219
0.6881,0.0187,4.4181,0.1751,1,0,0.037,0,0.0419
0.6881,0.1464,6.3582,0.1751,1,0,-0.0536,0,0.0146
0.3121,0.0396,3.7728,1.2783,1,0,0.1336,0,0.1047
0.1601,0.0471,4.0995,1.2135,1,0,-0.1152,0,0.492
0.232,0.0289,3.0419,0.5798,1,0,-0.1543,0,0.1945
0.0833,0.0922,3.6144,0.7282,0,0,-0.2475,0,0.2306
0.049,0.0474,3.7205,0.8432,0,0,-0.0926,0,0.2842
0.0278,0.0531,3.7487,0.6971,1,0,-0.0345,0,0.234
0.1374,0.133,2.87,1.7326,1,0,0.1325,0,0.0695
0.0557,0.109,3.9413,2.2622,1,0,0.8006,0,0.0341
0.0338,0.0741,3.5794,0.9953,1,0,1.0239,0,0.0824
0.0104,0.0504,4.8442,1.7078,1,0,-0.05,0,0.0714
0.2009,0.0389,3.2703,1.4367,1,0,0.8809,0,0.1683
0.0335,0.0273,5.2059,1.4744,1,0,0.117,0,0.0211
0.0056,0.0458,2.7066,1.2483,1,0,-0.025,0,0.155
0.1015,0.022,2.5081,2.5208,1,0,-0.113,0,0.0061
0.1647,0.0236,3.7575,3.3883,1,0,0.1831,1,0.0423
0,0.104,5.6225,1.3883,1,0,-0.2771,0,0.0012
0.0553,0.0061,7.7167,0.8178,0,0,-0.2079,0,0.0397
0.3163,0.0143,8.9505,2.7335,1,0,0.089,0,0.0114
0.2403,0.097,9.1249,2.6531,1,0,-0.0553,0,0.0299
0.1972,0.0994,9.4121,2.6741,1,0,0.0988,0,0.0054
0.2351,0.1231,9.9548,3.8309,1,0,0.1342,0,0.0033
0.2852,0.0665,9.7044,3.4203,1,0,-0.2072,0,0.0375
0.001,0.2861,2.4075,1.5576,1,0,0.0742,0,0.3327
0.0004,0.248,2.3888,1.4702,1,0,0.0956,0,0.4016
0.0017,0.26,3.6004,3.7698,1,0,0.4536,0,0.1504
0.0015,0.0301,2.2607,1.0361,1,0,0.129,0,0.0602
0.1514,0.0739,2.2549,0.8589,1,0,0.0101,0,0.0443
0.0319,0.1278,3.4081,2.0834,1,0,0.1361,0,0.1467
0.369,0.0638,6.0636,1.1097,1,0,0.1458,0,0.0096
0.2299,0.0411,3.349,1,1,0,0.1488,0,0.047
0.2288,0.0494,3.6425,1.2585,1,0,0.0515,0,0.0552
0.3977,0.0258,5.3956,1.0373,1,0,0.0774,0,0.1029
0.1162,0.0555,3.3804,0.6676,1,0,0.0307,0,0.0025
0.17,0.0851,3.6477,0.9207,0,0,0.0335,0,0.0058
0.119,0.1806,4.9814,2.0549,0,0,0.1239,0,0.0035
0,0.2088,5.4759,2.7958,0,0,0.0928,0,0.0356
0.0704,0.1199,6.4724,1.9788,1,0,0.0593,0,0.0825
0.2246,0.1381,6.7402,2.2802,1,0,0.1168,0,0.1803
0.1777,0.1227,7.0955,2.8381,1,0,0.171,0,0.0787
0.1901,0.1252,7.1614,2.2655,1,0,0.077,0,0.0488
0.1648,0.1454,8.1516,3.2659,1,0,0.0907,0,0.1902
0.0589,0.1093,8.2806,3.004,1,0,0.1268,0,0.0981
0.2231,0.1922,9.0796,3.9048,1,0,0.0947,0,0.0193
0,0.2458,3.3434,2.7414,1,0,0.1973,0,0.3152
0,0.296,4.0906,5.0123,1,0,0.2177,0,0.4647
0,0.1378,4.0675,3.2138,1,0,0.2245,0,0.1303
0.23,0.0468,8.1264,2.898,1,0,0.2414,0,0.0152
0.2851,0.0576,8.789,3.3385,1,0,-0.3233,0,0.0086
0.2578,0.0167,7.4477,1.0167,1,0,-0.0207,0,0.1107
0.3278,0.0671,7.1239,2.1146,1,0,0.3162,0,0.0171
0.1718,0.0706,7.1113,1.7035,1,0,0.0192,0,0.0127
0.1778,0.0595,6.8774,1.4459,1,0,-0.2746,0,0.0021
0.1551,0.0442,6.9701,1.4707,1,0,0.0274,0,0.0003
0.1429,0.104,7.7776,2.3536,1,0,0.0723,0,0.0275
0.1781,0.0739,7.5437,1.8392,1,0,0.0031,0,0.02
0.2544,0.0994,5.3052,1.596,1,0,-0.0183,0,0.2593
0.1939,0.0388,5.9483,2.6571,0,0,0.0666,0,0.3675
0.0602,0.0264,6.7733,1.0979,1,0,0.2714,0,0.2848
0.06,0.0245,6.8575,1.0385,1,0,0.0671,0,0.0754
0.0765,0.0246,7.1943,1.0677,1,0,0.1536,0,0.0695
0.0435,0.1126,7.419,1.0669,1,0,0.7651,0,0.1385
0.3873,0.0697,7.9107,1.4916,0,0,0.0107,0,0.0035
0.3424,0.062,7.8612,1.26,1,0,0.0515,0,0.0005
0.323,0.0663,8.3485,2.0768,1,1,0.0873,0,0.0026
0.402,0.078,9.2721,4.1955,1,0,0.0594,0,0.0309
0.3844,0.0606,8.6543,2.0116,1,0,0.0239,0,0.0369
0.1255,0.1445,6.435,2.7804,1,0,0.1833,0,0.1544
0.1294,0.1337,6.3874,2.8248,1,0,-0.0482,0,0.0432
0.6181,0.3425,6.4777,2.5617,0,0,1.6444,0,0.0438
0.3737,0.1439,8.6179,3.5786,1,0,0.1195,0,0.0018
0.3277,0.0984,8.6782,2.8131,1,0,0.0266,0,0.0026
0.3062,0.1497,9.8611,3.4443,1,0,0.0753,0,0.0068
0.1113,0.0691,7.233,1.4661,1,0,0.1595,0,0.1869
0.1282,0.1045,4.8,1.2869,1,1,-0.1275,0,0.0181
0.2183,0.1078,5.0302,1.1234,1,0,0.0478,0,0.0201
0.2855,0.0743,5.4051,1.4065,1,0,0.1254,0,0.0189
0.0427,0.0418,2.1345,0.2689,1,0,0.1059,0,0.0885
0.232,0.1114,8.93,1.3533,1,0,0.1692,0,0.0538
0.1499,0.1653,10.3839,3.3083,1,0,0.1298,0,0.0232
0.1333,0.1799,9.7696,1.4214,1,0,0.2981,0,0.0318
0.1466,0.0532,9.8933,1.4792,1,0,-0.2806,0,0.0462
0.1363,0.1256,6.4966,0.9902,1,0,0.0791,0,0.0891
0.103,0.1352,6.6237,1.054,1,0,0.0927,0,0.0848
0.3431,0.0335,6.1866,0.7893,1,0,0.0888,0,0.0144
